time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance
2022/07/12/22:54:15.856521,990,1537392896,332151032,/world,0.0992875173688,0.0174724496901,-1.26190757751,-0.0256370558811,-0.00690130859104,-0.0131791981218,0.999560617239,"(1.201730924549338e-06, 1.3546543886633344e-09, -1.0501729263978632e-08, 3.5652908536576433e-07, 2.120717681464157e-06, 4.909915674033982e-07, 8.874240786660437e-10, 1.4065293498788378e-06, 3.285053651325143e-08, -1.7066126929421443e-06, 5.076208253740333e-07, 3.2853392895049183e-07, -1.034247798514798e-08, 3.353624578039671e-08, 9.86624172583106e-07, -9.282256883125228e-07, -3.574251365989767e-07, -1.8116139699486666e-07, 3.597326099225029e-07, -1.715943540148146e-06, -9.182535336549336e-07, 0.0001425977679900825, 7.851245754864067e-06, -3.403245273148059e-06, 2.1425892100523924e-06, 5.073581519354775e-07, -3.4899704814961297e-07, 7.900538548710756e-06, 0.00012051032535964623, 1.6293291764668538e-06, 4.840284759666247e-07, 3.269339856615261e-07, -1.8316625016723265e-07, -3.42833095601236e-06, 1.5495038496737834e-06, 0.00013013787975069135)"
2022/07/12/22:54:15.881471,991,1537392896,365325032,/world,0.101389549673,0.0155847165734,-1.26193165779,-0.0311197677691,-0.00612065435649,-0.0127862322516,0.99941515957,"(1.2419204722391441e-06, -7.76559527793097e-09, -8.867437450987836e-09, 3.249004123517807e-07, 2.1463602024596184e-06, 5.410649919213029e-07, -8.253280725512013e-09, 1.49545599015255e-06, 3.940857951079124e-08, -1.6855410649441183e-06, 3.8411090486079047e-07, 3.181405077157251e-07, -8.772269133316968e-09, 4.024667177304764e-08, 1.049353159032762e-06, -1.2674538538703928e-06, -1.806803737736118e-07, -1.8942016311029874e-07, 3.287096319581906e-07, -1.6923867178775254e-06, -1.2526425052783452e-06, 0.00014163766172714531, 7.670816557947546e-06, -3.4833069548767526e-06, 2.162742930522654e-06, 3.8334425767061475e-07, -1.7157329068595573e-07, 7.741213266854174e-06, 0.00012052042438881472, 1.7631485889069154e-06, 5.338524715625681e-07, 3.1779103437656886e-07, -1.8892026787398208e-07, -3.5029943319386803e-06, 1.6880691191545338e-06, 0.00013011071132496)"
2022/07/12/22:54:15.903523,992,1537392896,398499032,/world,0.103475503623,0.0127888694406,-1.26168596745,-0.0368005302449,-0.00597924508916,-0.0124661134408,0.999227001523,"(1.2941069371663616e-06, -1.633002355561075e-08, -7.321041994856614e-09, 2.9332437634366215e-07, 2.1907076188654173e-06, 5.871335133633693e-07, -1.6518029610779195e-08, 1.6023225271055708e-06, 4.6858847468911335e-08, -1.6591881148997345e-06, 2.671000629561604e-07, 3.14374261733974e-07, -7.453910377819284e-09, 4.6928601449280904e-08, 1.1228061111978604e-06, -1.6651083569740877e-06, -4.616707371951634e-08, -2.0249299836905266e-07, 2.906869838170678e-07, -1.6583296655880986e-06, -1.6631057633276214e-06, 0.00013979646610096097, 7.270672995218774e-06, -3.613952003433951e-06, 2.1928171918261796e-06, 2.6588861601339886e-07, -4.682998522298476e-08, 7.256185654114233e-06, 0.00012049180804751813, 1.864702198872692e-06, 5.906605338168447e-07, 3.126633885131014e-07, -2.0482478646499658e-07, -3.6626252040150575e-06, 1.8854217387342942e-06, 0.00012992206029593945)"
2022/07/12/22:54:15.927311,993,1537392896,431670032,/world,0.105262830853,0.00918009877205,-1.26130139828,-0.0416669073455,-0.00666634255007,-0.0122110779305,0.999034698811,"(1.3636871472044731e-06, -3.028761952350578e-08, -5.619189558103699e-09, 2.7444420425126737e-07, 2.2717838419339387e-06, 6.350282433231769e-07, -3.0558297225979913e-08, 1.734759734972613e-06, 5.3597577931441265e-08, -1.6588976450293558e-06, 1.4054469943403092e-07, 3.112422461981623e-07, -5.380217160677603e-09, 5.437025052401623e-08, 1.2119718348913011e-06, -2.0922627754771383e-06, 4.391599617292741e-08, -2.1653320914083451e-07, 2.7879221420334943e-07, -1.665175204834668e-06, -2.0649208636314142e-06, 0.00013822487380821258, 6.948951522645075e-06, -3.6753613130713347e-06, 2.2878577965457225e-06, 1.4075868648433243e-07, 5.5626934170049935e-08, 7.049620762700215e-06, 0.00012057980347890407, 2.0509235127974534e-06, 6.242937047318264e-07, 3.077713017773931e-07, -2.202106941240345e-07, -3.7232102840789594e-06, 1.947810233104974e-06, 0.00012976022844668478)"
2022/07/12/22:54:15.949237,994,1537392896,464846032,/world,0.106577068567,0.0054024993442,-1.26091897488,-0.0455241360684,-0.00811673186368,-0.0120813894117,0.998857210263,"(1.4422364529309561e-06, -5.252875823202885e-08, -4.3658530124446315e-09, 2.515546952963632e-07, 2.3849299850553507e-06, 6.787116149098438e-07, -5.2797293648154664e-08, 1.8751541119854664e-06, 6.032043131654063e-08, -1.6737129726607236e-06, 2.510160612700929e-08, 3.15373569037547e-07, -4.1714502962975075e-09, 6.127378071596468e-08, 1.3052145959591144e-06, -2.5303850179625442e-06, 5.0302062959417526e-08, -2.4246836005659134e-07, 2.5685750415505026e-07, -1.6788970924608293e-06, -2.4991722966660745e-06, 0.00013650531764142215, 6.548915735038463e-06, -3.782623025472276e-06, 2.4021633180382196e-06, 2.5488620991609423e-08, 6.239055494461354e-08, 6.660142844339134e-06, 0.00012069086369592696, 2.2288224954536417e-06, 6.647347277066729e-07, 3.1131978062148846e-07, -2.4422158162451524e-07, -3.828374701697612e-06, 2.1286441551637836e-06, 0.0001295615656999871)"
2022/07/12/22:54:15.963587,995,1537392896,498021032,/world,0.107886835933,0.000876134610735,-1.2603700161,-0.0490610943548,-0.0103848054055,-0.0119493386327,0.998670304906,"(1.537370167170593e-06, -9.309312787308954e-08, -6.650770600913347e-09, 2.2013055911429547e-07, 2.5408905912627233e-06, 7.201850280580402e-07, -9.339771622762782e-08, 2.0287345705582993e-06, 6.795619356125826e-08, -1.7044283140421612e-06, -7.615930286419825e-08, 3.2923404091889097e-07, -5.834258409720405e-09, 6.89044981072584e-08, 1.4075493481868762e-06, -2.9911611818533856e-06, -6.078009562315856e-08, -2.739139404184243e-07, 2.3473215549074666e-07, -1.71021804362681e-06, -2.9490574888768606e-06, 0.00013456647866405547, 6.029809810570441e-06, -3.868199200951494e-06, 2.5597230433049845e-06, -7.581518701726964e-08, -4.2942748024188404e-08, 6.2094190980133135e-06, 0.00012082194007234648, 2.4237174329755362e-06, 7.012470177869545e-07, 3.243956427922967e-07, -2.793536282297282e-07, -3.9912179090606514e-06, 2.313094682904193e-06, 0.00012938975123688579)"
2022/07/12/22:54:15.993130,996,1537392896,531189032,/world,0.109629161656,-0.0051336013712,-1.25985503197,-0.0526595592729,-0.0148048532055,-0.01189722529,0.998431891066,"(1.6497915567015298e-06, -1.5703662370469829e-07, -1.2440351859765997e-08, 1.7797971452182537e-07, 2.7417520414019236e-06, 7.582163448205392e-07, -1.5682176979225915e-07, 2.183313199566328e-06, 7.410578461986006e-08, -1.7678081576377735e-06, -1.6558254856136045e-07, 3.655509317468386e-07, -1.174188479780014e-08, 7.544626612343563e-08, 1.5104573094504303e-06, -3.4548056646599434e-06, -3.100372509834415e-07, -3.1610139217264077e-07, 1.8920295019597688e-07, -1.7705860955175012e-06, -3.4133038298023166e-06, 0.000132631030282937, 5.405342562880833e-06, -4.022333087050356e-06, 2.7643923203868326e-06, -1.628246479867812e-07, -2.9193518003012286e-07, 5.566719664784614e-06, 0.00012094954581698403, 2.614530103528523e-06, 7.302155609067995e-07, 3.5297566114422807e-07, -3.2438697417092044e-07, -4.127853571844753e-06, 2.482481477272813e-06, 0.0001289939391426742)"
2022/07/12/22:54:16.014642,997,1537392896,564362032,/world,0.111908890307,-0.012942161411,-1.25894391537,-0.0561967477515,-0.0214138697315,-0.0119679743732,0.998118314034,"(1.8160347963203094e-06, -2.6503624894758104e-07, -2.521753650341907e-08, 1.2692215989318356e-07, 3.026521881110966e-06, 7.809026101313066e-07, -2.6452565293766384e-07, 2.346882183701382e-06, 7.994479744866112e-08, -1.8780020809572306e-06, -2.2615186878738314e-07, 4.2809256228792947e-07, -2.42563906738269e-08, 8.132703044338996e-08, 1.624756009732664e-06, -3.925631062884349e-06, -7.957541470204887e-07, -3.6239237033441896e-07, 1.4096940503804944e-07, -1.8777913055600948e-06, -3.880256372212898e-06, 0.0001305995392613113, 4.598902251018444e-06, -4.129429726162925e-06, 3.0483272439596476e-06, -2.228267419468466e-07, -7.742228831375542e-07, 4.785498276760336e-06, 0.0001210553600685671, 2.789731070151902e-06, 7.498377954107127e-07, 4.1137428752335836e-07, -3.746521315406426e-07, -4.276294475857867e-06, 2.6653281111066462e-06, 0.00012845110904891044)"
2022/07/12/22:54:16.033228,998,1537392896,597561032,/world,0.113929502666,-0.0204412844032,-1.25775134563,-0.0585031259849,-0.02782555261,-0.0120590521295,0.997826501513,"(2.0682020931417355e-06, -4.145235550367943e-07, -4.620923732545634e-08, 8.850611976640721e-08, 3.3958476706175134e-06, 7.723428439021518e-07, -4.141490137499204e-07, 2.5285805804742267e-06, 8.638478021794072e-08, -2.0396892068674788e-06, -2.581928129075095e-07, 5.111835434945533e-07, -4.5101234746880436e-08, 8.720863320377248e-08, 1.764393914527318e-06, -4.396192707645241e-06, -1.4789819715588237e-06, -4.13298124612993e-07, 1.0432363950485524e-07, -2.042378355326946e-06, -4.341457497503143e-06, 0.00012866103497799486, 3.667422333819559e-06, -4.198228907625889e-06, 3.4146976304327836e-06, -2.570934611867415e-07, -1.4515283055516193e-06, 3.901696800312493e-06, 0.00012115426216041669, 2.885218691517366e-06, 7.501412255805917e-07, 4.961429453942401e-07, -4.242238276219723e-07, -4.361428182164673e-06, 2.806099246299709e-06, 0.00012770779721904546)"
2022/07/12/22:54:16.059687,999,1537392896,630708032,/world,0.116529591382,-0.0311609003693,-1.25737833977,-0.0602699926435,-0.0368005729041,-0.0125133563997,0.997425027458,"(2.384858817094937e-06, -5.861812155671942e-07, -9.111349186241569e-08, 8.412426311110721e-09, 3.7716647511842893e-06, 6.844831546004571e-07, -5.854998335053097e-07, 2.7055527880293084e-06, 9.632702813178184e-08, -2.2382951101462822e-06, -2.5316643359474256e-07, 6.027994459145702e-07, -8.968006426357533e-08, 9.740999473706324e-08, 1.9033174112337292e-06, -4.911605174129363e-06, -2.3706677438894985e-06, -4.872733825322939e-07, 2.4260899067485298e-08, -2.236018417534069e-06, -4.855839051742805e-06, 0.00012657618208322674, 2.38377288042102e-06, -4.426665782375494e-06, 3.791263452512794e-06, -2.514667016839667e-07, -2.338204467378091e-06, 2.622702140797628e-06, 0.00012108442751923576, 2.824584271365893e-06, 6.578515012733988e-07, 5.828719054079556e-07, -5.074762157164514e-07, -4.622409051080467e-06, 2.746244490481331e-06, 0.00012692091695498675)"
